Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2003;1;2003-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;241228;283134
2003;1;2003-01-31;Contrat de plus d'un mois;CDI;303888;247918
2003;3;2003-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;171353;272897
2003;3;2003-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;440044;290525
2003;3;2003-09-30;Contrat de plus d'un mois;CDI;351824;244380
2003;4;2003-11-30;Contrat de plus d'un mois;CDI;238056;243936
2004;1;2004-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;259172;303037
2004;1;2004-01-31;Contrat de plus d'un mois;CDI;302725;247552
2004;1;2004-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;250473;295361
2004;2;2004-04-30;Contrat de plus d'un mois;CDI;243300;245305
2004;2;2004-05-31;Contrat de plus d'un mois;CDI;215024;242608
2004;3;2004-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;560355;301420
2004;3;2004-08-31;Contrat de plus d'un mois;CDI;174914;246441
2004;4;2004-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;260558;303661
2005;1;2005-02-28;Contrat de plus d'un mois;CDI;227555;248425
2005;1;2005-03-31;Contrat de plus d'un mois;CDI;244537;247424
2005;2;2005-04-30;Contrat de plus d'un mois;CDI;256058;253664
2005;2;2005-05-31;Contrat de plus d'un mois;CDI;230220;254050
2005;3;2005-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;593912;314634
2005;3;2005-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;458640;306895
2005;4;2005-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;313618;301593
2005;4;2005-10-31;Contrat de plus d'un mois;CDI;327195;262357
2005;4;2005-12-31;Contrat de plus d'un mois;CDI;210932;266934
2006;1;2006-01-31;Contrat de plus d'un mois;CDI;342690;267548
2006;1;2006-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;178274;286756
2006;1;2006-02-28;Contrat de plus d'un mois;CDI;248376;273405
2006;2;2006-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;264965;308322
2006;2;2006-06-30;Contrat de plus d'un mois;CDI;245039;271852
2006;3;2006-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;618519;328821
2006;4;2006-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;338148;313078
2007;1;2007-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;195724;316267
2007;1;2007-02-28;Contrat de plus d'un mois;CDI;251161;279701
2007;1;2007-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;249715;317689
2007;2;2007-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;280320;315786
2007;2;2007-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265798;325037
2007;2;2007-05-31;Contrat de plus d'un mois;CDI;248585;289934
2007;3;2007-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;627009;321413
2007;3;2007-07-31;Contrat de plus d'un mois;CDI;271092;293333
2007;3;2007-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;508724;329428
2007;4;2007-11-30;Contrat de plus d'un mois;CDI;281933;286269
2008;1;2008-01-31;Contrat de plus d'un mois;CDI;361843;290316
2008;1;2008-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;263511;334603
2008;2;2008-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;277771;300819
2008;2;2008-04-30;Contrat de plus d'un mois;CDI;280442;274390
2008;2;2008-05-31;Contrat de plus d'un mois;CDI;233044;272198
2008;3;2008-08-31;Contrat de plus d'un mois;CDI;201667;282643
2008;3;2008-09-30;Contrat de plus d'un mois;CDI;438609;292244
2008;4;2008-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;326571;312138
2008;4;2008-10-31;Contrat de plus d'un mois;CDI;341752;273768
2008;4;2008-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;217779;296764
2009;1;2009-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;263185;298527
2009;1;2009-02-28;Contrat de plus d'un mois;CDI;204845;232904
2009;2;2009-04-30;Contrat de plus d'un mois;CDI;220537;225143
